"","PLOT_ID","Source","Lat","Lon","Slope","gr_mean","Biom_mean","RS","PWQ","PH","SOC","Basal","CV","Age","Biome","Sink"
"1184","Plot1184","ICP",51.68,7.25,-0.83,0.104,0.094,13.47,238,5.699999809,45.6,0.003,0.32,NA,"Boreal",0.01
"1185","Plot1185","ICP",51.83,8.95,-1.4,0.757,0.401,13.42,269,7.199999809,58.57,0.0039,0.23,NA,"Boreal",0.356
"1186","Plot1186","ICP",50.15,9.38,-0.55,0.7,0.825,16.42,243,6.199999809,53.2,0.0029,0.26,NA,"Boreal",-0.125
"1187","Plot1187","ICP",48.92,11.75,-1.34,1.005,0.696,20.86,250,6.800000191,35.44,0.0039,0.6,NA,"Temperate",0.309
"1188","Plot1188","ICP",48.4,11.65,-2.54,0.776,0.216,32.87,296,7.099999905,30.69,0.0038,0.63,NA,"Temperate",0.56
"1189","Plot1189","ICP",49.72,9.88,-1.16,0.593,0.432,12.99,195,6.800000191,37.71,0.0035,0.5,NA,"Temperate",0.161
"1190","Plot1190","ICP",47.72,11.67,-1.76,1.008,0.382,34.44,513,7.199999809,64.71,0.0065,0.5,NA,"Temperate",0.626
"1191","Plot1191","USA",35.3,-111.7,-1.52,0.071,0.059,41.93,170,4.599999905,29.66,0.0021,0.56,NA,"Temperate",0.012
"1192","Plot1192","Hans",49.99,9.33,-1.59,0.422,0.164,15.01,227,6.199999809,49.8,0.0042,0.24,160.37,"Temperate",0.258
"1193","Plot1193","Hans",48.47,21.7,-1.04,0.24,0.224,32.54,244,5.599999905,33.27,0.0041,0.2,96.76,"Temperate",0.016
"1194","Plot1194","Hans",50,9.38,-1.79,1.428,0.466,16.23,232,6.199999809,51.28,0.0046,0.32,33.18,"Temperate",0.962
"1195","Plot1195","ICP",46.23,9.55,-2.79,0.736,0.048,15.81,284,6.5,65.25,0.0049,0.76,NA,"Temperate",0.688
"1196","Plot1196","ICP",43.28,13.07,-1.66,0.659,0.25,17.53,219,7.400000095,36.81,0.004,0.7,NA,"Temperate",0.409
"1197","Plot1197","ICP",45.67,8.07,-3.36,0.386,0.057,27.24,245,7.099999905,56.01,0.0032,0.46,NA,"Temperate",0.329
"1198","Plot1198","ICP",41.82,15.98,-1.56,0.805,0.261,22.54,18,7.5,37.32,0.0047,0.62,NA,"Temperate",0.544
"1199","Plot1199","ICP",39.33,8.57,-1.2,0.493,0.213,57.27,55,5.300000191,33.42,0.0043,0.58,NA,"Temperate",0.28
"1200","Plot1200","ICP",37.9,13.4,-1.39,0.338,0.166,55.28,72,7.300000191,35.56,0.0026,0.2,NA,"Temperate",0.172
"1201","Plot1201","ICP",43.5,10.43,-1.47,0.454,0.148,38.85,123,7.300000191,39.5,0.0032,0.73,NA,"Temperate",0.306
"1202","Plot1202","ICP",46.35,11.48,-2.24,0.318,0.054,47.81,258,6.199999809,49.76,0.0057,0.35,NA,"Temperate",0.264
"1203","Plot1203","ICP",38.42,16.17,-1.61,0.548,0.13,51.12,110,7.199999809,43.95,0.0043,0.49,NA,"Temperate",0.418
"1204","Plot1204","ICP",44.72,10.2,-1.26,0.532,0.44,24.67,180,7.400000095,32.85,0.0026,0.89,NA,"Temperate",0.092
"1205","Plot1205","ICP",44.1,11.12,-1.41,0.731,0.396,34.44,231,7.099999905,49.92,0.0039,0.55,NA,"Temperate",0.335
"1206","Plot1206","ICP",42.82,11.9,-2.5,0.402,0.047,24.37,98,7.5,35.45,0.0028,0.31,NA,"Temperate",0.355
"1207","Plot1207","Amazon",-2.6,-60.2,-1.22,0.507,0.522,41.86,409,3.5,30.53,NA,NA,NA,"Tropical",-0.015
"1208","Plot1208","Amazon",-15.7,-62.8,-1.14,0.413,0.409,63.43,378,5.199999809,22.55,NA,NA,NA,"Tropical",0.004
"1209","Plot1209","Amazon",-14.6,-60.8,-2.62,0.505,0.329,73.24,506,4.599999905,28.31,NA,NA,NA,"Tropical",0.176
"1210","Plot1210","Amazon",-14.6,-60.8,-1.66,0.603,0.445,73.24,506,4.599999905,28.31,NA,NA,NA,"Tropical",0.158
"1211","Plot1211","USA",36.6,-118.7,-1.25,0.507,0.445,74.2,52,5.099999905,41.18,0.0063,1.19,NA,"Temperate",0.062
"1212","Plot1212","Can",49.3,-96,-1.43,0.231,0.122,47.22,265,6.699999809,78.66,0.0044,0.55,90,"Temperate",0.109
"1213","Plot1213","Can",51.1,-95.8,-1.51,0.125,0.096,51.86,238,5.5,85.24,0.002,0.8,160,"Boreal",0.029
"1214","Plot1214","Can",51,-95.5,-0.92,0.135,0.152,52.28,247,7,147.36,0.0037,0.57,162,"Boreal",-0.017
"1215","Plot1215","Hans",50.2,9.52,-0.59,0.47,0.731,16.39,234,6.199999809,43.45,0.0033,0.27,145.81,"Boreal",-0.261
"1216","Plot1216","Hans",46.79,21.24,-0.91,0.26,0.199,27.4,185,6.199999809,31.23,0.0062,0.38,205.39,"Temperate",0.061
"1217","Plot1217","Amazon",-10.8,-68.8,-3.51,0.645,0.474,63.36,553,5,18.75,NA,NA,NA,"Tropical",0.171
"1218","Plot1218","Amazon",-10.8,-68.8,-2.83,0.528,0.426,63.36,553,5,18.75,NA,NA,NA,"Tropical",0.102
"1219","Plot1219","Amazon",8.1,-61.7,-1.14,0.717,0.591,53.51,413,3.799999952,26.13,NA,NA,NA,"Tropical",0.126
"1220","Plot1220","Hans",49.88,9.42,-2.13,0.358,0.169,17.05,234,6.199999809,50.18,0.0039,0.17,129.87,"Temperate",0.189
"1221","Plot1221","USA",44.2,-122.2,-3.65,0.879,0.068,64.33,120,7.400000095,50.24,0.0068,0.66,NA,"Temperate",0.811
"1222","Plot1222","USA",44.2,-122.2,-2.12,0.492,0.181,64.33,120,7.400000095,50.24,0.0059,0.75,NA,"Temperate",0.311
"1223","Plot1223","ICP",48.2,18.38,-2.13,0.328,0.035,23.75,178,6.5,24.83,0.0031,0.17,NA,"Temperate",0.293
"1224","Plot1224","ICP",48.92,19.48,-1.53,0.455,0.132,30.9,405,5.300000191,83.37,0.0053,0.31,NA,"Temperate",0.323
"1225","Plot1225","ICP",48.63,19.53,-2.27,0.683,0.144,30.38,283,5.300000191,47.92,0.0054,0.51,NA,"Temperate",0.539
"1226","Plot1226","ICP",48.62,19.03,-1.55,0.596,0.102,21.64,252,6.400000095,33.81,0.004,0.59,NA,"Temperate",0.494
"1227","Plot1227","Hans",48.74,22.7,-1.4,0.195,0.113,23.7,333,5.599999905,43.99,0.003,0.19,132.8,"Temperate",0.082
"1228","Plot1228","USA",44.4,-121.8,-0.68,0.213,0.393,66.21,110,6.099999905,43.91,0.0054,0.55,NA,"Temperate",-0.18
"1229","Plot1229","ICP",43.1,-3.37,-1.06,0.115,0.087,24.15,171,5.800000191,36.28,0.0018,0.6,NA,"Temperate",0.028
"1230","Plot1230","ICP",37.15,-5.28,-0.94,0.012,0,69.2,23,8.199999809,18.02,0.0015,0.19,NA,"Temperate",0.012
"1231","Plot1231","ICP",42.73,-7.3,-2.16,0.609,0.085,43.86,171,4.800000191,44.12,0.0047,0.3,NA,"Temperate",0.524
"1232","Plot1232","ICP",40.18,-5.57,-2.17,0.255,0.06,47.04,74,7.099999905,37.84,0.0026,0.18,NA,"Temperate",0.195
"1233","Plot1233","ICP",43.15,-4.53,-2.15,0.465,0.17,26.07,137,4.800000191,48.27,0.0024,0.33,NA,"Temperate",0.295
"1234","Plot1234","ICP",40.9,0.38,-1.34,0.192,0.065,32.37,103,8.199999809,37.81,0.0045,0.51,NA,"Temperate",0.127
"1235","Plot1235","ICP",40.47,-0.33,-2.22,0.12,0.04,28.8,135,7.400000095,30.15,0.0041,0.55,NA,"Temperate",0.08
"1236","Plot1236","ICP",42.52,-0.93,-1.09,0.179,0.194,22.11,131,8.199999809,41.31,0.0035,0.25,NA,"Temperate",-0.015
"1237","Plot1237","ICP",42.63,0.28,-0.74,0.072,0.172,19.01,233,5.400000095,52.14,0.0047,0.33,NA,"Temperate",-0.1
"1238","Plot1238","ICP",42.25,-1.3,-1.71,0.158,0.078,22.52,88,7.5,21.56,0.0032,0.36,NA,"Temperate",0.08
"1239","Plot1239","ICP",41.87,-1.12,-2.25,0.152,0.028,27.16,91,8,22.1,0.0038,0.32,NA,"Temperate",0.124
"1240","Plot1240","ICP",43,-2.32,-2.38,0.078,0.024,21.05,186,5.800000191,45.25,9e-04,0.49,NA,"Temperate",0.054
"1241","Plot1241","ICP",42.85,-3.45,-1.99,0.397,0.267,24.88,132,7.900000095,28.15,0.0026,0.36,NA,"Temperate",0.13
"1242","Plot1242","ICP",40.33,-4.07,-3,0.355,0.039,35.97,52,6.699999809,15.45,0.0023,0.23,NA,"Temperate",0.316
"1243","Plot1243","ICP",40.2,-4.98,-1.66,0.091,0.015,37.59,45,5.5,31.89,0.0049,0.17,NA,"Temperate",0.076
"1244","Plot1244","ICP",39.85,3.17,-2.34,0.293,0.152,45.84,117,7.300000191,34.04,0.0025,0.37,NA,"Temperate",0.141
"1245","Plot1245","ICP",38.47,-1.55,-1.58,0.153,0.103,37.1,45,8.199999809,18.85,0.0036,0.43,NA,"Temperate",0.05
"1246","Plot1246","ICP",42.6,1.07,-1.27,0.145,0.106,18.42,254,5.400000095,40.6,0.0023,0.24,NA,"Temperate",0.039
"1247","Plot1247","ICP",40.87,-2.03,-1.98,0.302,0.121,32.32,91,6.599999905,29.77,0.0051,0.5,NA,"Temperate",0.181
"1248","Plot1248","ICP",40.13,0.18,-1.32,0.65,0.406,NA,NA,7.800000191,NA,0.0071,0.27,NA,"Temperate",0.244
"1249","Plot1249","Hans",47.34,21.63,-1.68,0.703,0.211,30.25,189,5.599999905,27.29,0.0043,0.28,70.07,"Temperate",0.492
"1250","Plot1250","USA",36.6,-118.8,-1.12,0.908,0.495,83.41,35,6.400000095,38.29,0.0075,1.14,NA,"Temperate",0.413
"1251","Plot1251","Amazon",-3.3,-72.9,-2.25,0.675,0.599,19.72,769,4.199999809,59.08,NA,NA,NA,"Tropical",0.0760000000000001
"1252","Plot1252","ICP",47.68,8.53,-1.84,0.905,0.664,15.19,284,6.800000191,41.7,0.0036,0.41,NA,"Temperate",0.241
"1253","Plot1253","ICP",47.27,7.88,-2.96,1.11,0.258,13.5,359,6.400000095,47.06,0.0059,0.56,NA,"Temperate",0.852
"1254","Plot1254","ICP",46.7,7.75,-0.58,0.326,0.274,12.79,350,6.199999809,65.95,0.0037,0.53,NA,"Temperate",0.052
"1255","Plot1255","ICP",46.43,8.8,-2.86,0.773,0.33,23.26,451,4.099999905,66.5,0.0046,0.49,NA,"Temperate",0.443
"1256","Plot1256","ICP",46.12,9,-2.54,0.575,0.184,30.4,412,6.5,59.3,0.0031,0.65,NA,"Temperate",0.391
"1257","Plot1257","ICP",46.22,6.28,-1.73,0.925,0.352,12.79,259,6.599999905,40.05,0.0035,0.66,NA,"Temperate",0.573
"1258","Plot1258","ICP",46.58,6.65,-2.61,0.624,0.328,11.06,351,5.099999905,44.33,0.0044,0.89,NA,"Temperate",0.296
"1259","Plot1259","ICP",46.27,7.43,-0.83,0.306,0.377,13.95,265,7.599999905,38.6,0.0035,0.44,NA,"Temperate",-0.071
"1260","Plot1260","Amazon",-12.8,-69.3,-3.25,0.596,0.368,56.26,778,4.099999905,35.6,NA,NA,NA,"Tropical",0.228
"1261","Plot1261","Amazon",-12.8,-69.3,-2.18,0.571,0.449,56.26,778,4.099999905,35.6,NA,NA,NA,"Tropical",0.122
"1262","Plot1262","Amazon",-1.7,-51.4,-0.82,0.489,0.57,57.57,191,3.5,22.33,NA,NA,NA,"Tropical",-0.081
"1263","Plot1263","Amazon",-1.7,-51.4,-1.26,0.348,0.322,57.57,191,3.5,22.33,NA,NA,NA,"Tropical",0.026
"1264","Plot1264","Amazon",-1.8,-51.5,-1.36,0.512,0.537,59.94,171,3.5,28.18,NA,NA,NA,"Tropical",-0.025
"1265","Plot1265","Amazon",-1.7,-51.4,-1.48,0.437,0.438,57.57,191,3.5,22.33,NA,NA,NA,"Tropical",-0.001
"1266","Plot1266","Amazon",-2.6,-60.1,-0.51,0.376,0.483,42.07,411,3.5,29.98,NA,NA,NA,"Tropical",-0.107
"1267","Plot1267","Amazon",-14.8,-52.2,-0.66,0.491,0.806,80.08,433,5.099999905,23.19,NA,NA,NA,"Tropical",-0.315
"1268","Plot1268","USA",37.8,-119.9,-0.85,0.418,0.684,81.66,38,7.800000191,44.95,0.007,1.67,NA,"Temperate",-0.266
"1269","Plot1269","Hans",48.4,10.48,-1.68,1.034,0.467,29.66,302,7.099999905,41.76,0.0062,0.27,40.72,"Temperate",0.567
"1270","Plot1270","Hans",48.4,10.48,-1.13,0.943,0.73,29.66,302,7.099999905,41.76,0.0056,0.29,39.14,"Temperate",0.213
"1271","Plot1271","Hans",48.4,10.48,-1.88,0.869,0.29,29.66,302,7.099999905,41.76,0.006,0.22,41.15,"Temperate",0.579
"1272","Plot1272","Hans",48.13,23.7,-2.69,0.537,0.086,26.44,328,5.599999905,36.3,0.0067,0.34,88.62,"Temperate",0.451
"1273","Plot1273","GCB",5.3,-52.88,-1.26,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1274","Plot1274","GCB",5.3,-52.88,-2.96,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1275","Plot1275","GCB",5.3,-52.88,-1.32,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1276","Plot1276","GCB",5.3,-52.88,-1.86,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1277","Plot1277","GCB",5.3,-52.88,-1.63,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1278","Plot1278","GCB",5.3,-52.88,-1.99,NA,NA,51.93,238,4.400000095,32.08,NA,NA,NA,"Tropical",NA
"1279","Plot1279","NZ",-43.13,171.53,-0.68,0.064,0.085,NA,NA,NA,NA,0.0042,0.34,NA,"Temperate",-0.021
"1280","Plot1280","NZ",-43.13,171.54,-0.64,0.084,0.115,NA,NA,NA,NA,0.0038,0.52,NA,"Temperate",-0.031
"1281","Plot1281","NZ",-43.13,171.54,-0.8,0.149,0.161,NA,NA,NA,NA,0.0063,0.45,NA,"Temperate",-0.012
"1282","Plot1282","NZ",-43.13,171.54,-0.94,0.104,0.111,NA,NA,NA,NA,0.0068,0.64,NA,"Temperate",-0.00700000000000001
"1283","Plot1283","NZ",-43.13,171.54,-0.49,0.081,0.16,NA,NA,NA,NA,0.0046,0.52,NA,"Temperate",-0.079
"1284","Plot1284","NZ",-43.13,171.54,-1.03,0.082,0.118,NA,NA,NA,NA,0.0042,0.65,NA,"Temperate",-0.036
"1285","Plot1285","NZ",-43.12,171.53,-1.56,0.077,0.059,NA,NA,NA,NA,0.005,0.54,NA,"Temperate",0.018
"1286","Plot1286","NZ",-43.12,171.55,-1.33,0.083,0.078,NA,NA,NA,NA,0.0057,0.33,NA,"Temperate",0.005
"1287","Plot1287","NZ",-43.12,171.55,-0.96,0.08,0.058,NA,NA,NA,NA,0.0056,0.65,NA,"Temperate",0.022
"1288","Plot1288","NZ",-43.11,171.54,-0.37,0.092,0.166,NA,NA,NA,NA,0.0045,0.57,NA,"Temperate",-0.074
"1289","Plot1289","NZ",-43.13,171.49,-0.45,0.119,0.181,NA,NA,NA,NA,0.0035,0.6,NA,"Temperate",-0.062
"1290","Plot1290","NZ",-43.12,171.49,-1.07,0.157,0.199,NA,NA,NA,NA,0.0039,0.58,NA,"Temperate",-0.042
"1291","Plot1291","NZ",-43.12,171.49,-1.32,0.126,0.139,NA,NA,NA,NA,0.004,0.35,NA,"Temperate",-0.013
"1292","Plot1292","NZ",-43.1,171.48,-0.74,0.134,0.277,NA,NA,NA,NA,0.0059,0.37,NA,"Temperate",-0.143
"1293","Plot1293","NZ",-43.17,171.58,-1.43,0.205,0.135,NA,NA,NA,NA,0.0044,0.49,NA,"Temperate",0.07
"1294","Plot1294","NZ",-43.1,171.46,-1.71,0.108,0.046,NA,NA,NA,NA,0.0074,0.64,NA,"Temperate",0.062
"1295","Plot1295","NZ",-43.09,171.46,-0.85,0.131,0.165,NA,NA,NA,NA,0.0035,0.44,NA,"Temperate",-0.034
"1296","Plot1296","NZ",-43.09,171.44,-0.69,0.071,0.285,NA,NA,NA,NA,0.004,0.6,NA,"Temperate",-0.214
"1297","Plot1297","NZ",-43.09,171.45,-0.75,0.126,0.23,NA,NA,NA,NA,0.0059,0.23,NA,"Temperate",-0.104
"1298","Plot1298","NZ",-43.09,171.45,-0.49,0.038,0.12,NA,NA,NA,NA,0.004,0.88,NA,"Temperate",-0.082
"1299","Plot1299","NZ",-43.09,171.46,-0.91,0.104,0.152,NA,NA,NA,NA,0.0059,0.44,NA,"Temperate",-0.048
"1300","Plot1300","NZ",-43.09,171.46,-0.62,0.1,0.13,NA,NA,NA,NA,0.0067,0.66,NA,"Temperate",-0.03
"1301","Plot1301","NZ",-43.09,171.47,-0.65,0.081,0.148,NA,NA,NA,NA,0.004,0.75,NA,"Temperate",-0.067
"1302","Plot1302","NZ",-43.17,171.58,-0.62,0.136,0.38,NA,NA,NA,NA,0.0038,0.44,NA,"Temperate",-0.244
"1303","Plot1303","NZ",-43.09,171.47,-0.56,0.113,0.236,NA,NA,NA,NA,0.0048,0.37,NA,"Temperate",-0.123
"1304","Plot1304","NZ",-43.09,171.48,-0.54,0.076,0.109,NA,NA,NA,NA,0.0039,0.75,NA,"Temperate",-0.033
"1305","Plot1305","NZ",-43.09,171.48,-0.34,0.129,0.238,NA,NA,NA,NA,0.0036,0.49,NA,"Temperate",-0.109
"1306","Plot1306","NZ",-43.09,171.48,-2.55,0.182,0.244,NA,NA,NA,NA,0.0064,0.63,NA,"Temperate",-0.062
"1307","Plot1307","NZ",-43.09,171.47,-1.05,0.171,0.139,NA,NA,NA,NA,0.0111,0.62,NA,"Temperate",0.032
"1308","Plot1308","NZ",-43.1,171.49,-0.78,0.156,0.245,NA,NA,NA,NA,0.0052,0.39,NA,"Temperate",-0.089
"1309","Plot1309","NZ",-43.1,171.5,-1.3,0.161,0.108,NA,NA,NA,NA,0.0075,0.36,NA,"Temperate",0.053
"1310","Plot1310","NZ",-43.1,171.5,-0.92,0.109,0.221,NA,NA,NA,NA,0.0053,0.39,NA,"Temperate",-0.112
"1311","Plot1311","NZ",-43.1,171.5,-0.48,0.088,0.183,NA,NA,NA,NA,0.0053,0.42,NA,"Temperate",-0.095
"1312","Plot1312","NZ",-43.1,171.5,-1.45,0.092,0.026,NA,NA,NA,NA,0.0076,0.56,NA,"Temperate",0.066
"1313","Plot1313","NZ",-43.09,171.5,-1.42,0.204,0.12,NA,NA,NA,NA,0.0079,0.3,NA,"Temperate",0.084
"1314","Plot1314","NZ",-43.09,171.5,-1.31,0.146,0.077,NA,NA,NA,NA,0.0071,0.34,NA,"Temperate",0.069
"1315","Plot1315","NZ",-43.09,171.5,-0.98,0.113,0.115,NA,NA,NA,NA,0.006,0.6,NA,"Temperate",-0.002
"1316","Plot1316","NZ",-43.09,171.51,-1.22,0.061,0.11,NA,NA,NA,NA,0.0046,0.53,NA,"Temperate",-0.049
"1317","Plot1317","NZ",-43.07,171.48,-1.13,0.101,0.106,NA,NA,NA,NA,0.0051,0.54,NA,"Temperate",-0.00499999999999999
"1318","Plot1318","NZ",-43.07,171.48,-1.32,0.109,0.079,NA,NA,NA,NA,0.0075,0.44,NA,"Temperate",0.03
"1319","Plot1319","NZ",-43.07,171.48,-1.05,0.074,0.057,NA,NA,NA,NA,0.0062,0.53,NA,"Temperate",0.017
"1320","Plot1320","NZ",-43.06,171.46,-0.85,0.136,0.189,NA,NA,NA,NA,0.0056,0.4,NA,"Temperate",-0.053
"1321","Plot1321","NZ",-43.06,171.46,-0.83,0.091,0.096,NA,NA,NA,NA,0.0061,0.61,NA,"Temperate",-0.005
"1322","Plot1322","NZ",-43.05,171.42,-0.58,0.071,0.228,NA,NA,NA,NA,0.0052,0.79,NA,"Temperate",-0.157
"1323","Plot1323","NZ",-43.05,171.45,-1.31,0.165,0.137,NA,NA,NA,NA,0.0059,0.26,NA,"Temperate",0.028
"1324","Plot1324","NZ",-43.06,171.47,-1.28,0.162,0.155,NA,NA,NA,NA,0.0045,0.39,NA,"Temperate",0.00700000000000001
"1325","Plot1325","NZ",-43.05,171.47,-1.59,0.146,0.165,NA,NA,NA,NA,0.0046,0.38,NA,"Temperate",-0.019
"1326","Plot1326","NZ",-43.05,171.47,-1.25,0.155,0.088,NA,NA,NA,NA,0.0064,0.5,NA,"Temperate",0.067
"1327","Plot1327","NZ",-43.16,171.59,-1.72,0.112,0.14,NA,NA,NA,NA,0.0033,0.58,NA,"Temperate",-0.028
"1328","Plot1328","NZ",-43.16,171.59,-1.29,0.061,0.167,NA,NA,NA,NA,0.0022,1.13,NA,"Temperate",-0.106
"1329","Plot1329","NZ",-43.16,171.59,-0.79,0.113,0.201,NA,NA,NA,NA,0.0038,0.4,NA,"Temperate",-0.088
"1330","Plot1330","NZ",-43.16,171.59,-1.85,0.097,0.118,NA,NA,NA,NA,0.0044,0.32,NA,"Temperate",-0.021
"1331","Plot1331","NZ",-43.15,171.59,-0.68,0.073,0.146,NA,NA,NA,NA,0.0039,0.59,NA,"Temperate",-0.073
"1332","Plot1332","NZ",-43.15,171.58,-1.12,0.136,0.102,NA,NA,NA,NA,0.0072,0.44,NA,"Temperate",0.034
"1333","Plot1333","NZ",-43.05,171.48,-0.57,0.05,0.099,NA,NA,NA,NA,0.0043,0.24,NA,"Temperate",-0.049
"1334","Plot1334","NZ",-43.05,171.48,-1.15,0.108,0.083,NA,NA,NA,NA,0.006,0.41,NA,"Temperate",0.025
"1335","Plot1335","NZ",-43.06,171.48,-1.48,0.128,0.105,NA,NA,NA,NA,0.0039,0.35,NA,"Temperate",0.023
"1336","Plot1336","NZ",-43.06,171.48,-1.11,0.126,0.111,NA,NA,NA,NA,0.0041,0.35,NA,"Temperate",0.015
"1337","Plot1337","NZ",-43.05,171.48,-1.01,0.104,0.189,NA,NA,NA,NA,0.0045,0.43,NA,"Temperate",-0.085
"1338","Plot1338","NZ",-43.05,171.48,-0.64,0.08,0.143,NA,NA,NA,NA,0.0049,0.59,NA,"Temperate",-0.063
"1339","Plot1339","NZ",-43.06,171.49,-0.37,0.083,0.292,NA,NA,NA,NA,0.0034,0.54,NA,"Temperate",-0.209
"1340","Plot1340","NZ",-43.06,171.49,-0.56,0.116,0.193,NA,NA,NA,NA,0.0041,0.62,NA,"Temperate",-0.077
"1341","Plot1341","NZ",-43.06,171.5,-1.28,0.152,0.088,NA,NA,NA,NA,0.0081,0.3,NA,"Temperate",0.064
"1342","Plot1342","NZ",-43.06,171.5,-1.1,0.063,0.058,NA,NA,NA,NA,0.0061,0.52,NA,"Temperate",0.005
"1343","Plot1343","NZ",-43.08,171.52,-0.99,0.129,0.155,NA,NA,NA,NA,0.0071,0.38,NA,"Temperate",-0.026
"1344","Plot1344","NZ",-43.08,171.53,-1.16,0.072,0.111,NA,NA,NA,NA,0.005,0.51,NA,"Temperate",-0.039
"1345","Plot1345","NZ",-43.08,171.58,-1.1,0.076,0.071,NA,NA,NA,NA,0.004,0.77,NA,"Temperate",0.005
"1346","Plot1346","NZ",-43.07,171.6,-1.08,0.081,0.064,NA,NA,NA,NA,0.0044,0.58,NA,"Temperate",0.017
"1347","Plot1347","NZ",-43.07,171.6,-0.74,0.074,0.139,NA,NA,NA,NA,0.0052,0.65,NA,"Temperate",-0.065
"1348","Plot1348","NZ",-43.07,171.6,-1.52,0.152,0.098,NA,NA,NA,NA,0.0062,0.28,NA,"Temperate",0.054
"1349","Plot1349","NZ",-43.08,171.59,-1.17,0.109,0.125,NA,NA,NA,NA,0.005,0.33,NA,"Temperate",-0.016
"1350","Plot1350","NZ",-43.08,171.59,-1.07,0.092,0.07,NA,NA,NA,NA,0.0053,0.49,NA,"Temperate",0.022
"1351","Plot1351","NZ",-43.16,171.56,-1.83,0.182,0.121,NA,NA,NA,NA,0.0043,0.36,NA,"Temperate",0.061
"1352","Plot1352","NZ",-43.08,171.62,-1.45,0.048,0.044,NA,NA,NA,NA,0.0045,0.6,NA,"Temperate",0.004
"1353","Plot1353","NZ",-43.08,171.59,-1.24,0.092,0.073,NA,NA,NA,NA,0.0053,0.56,NA,"Temperate",0.019
"1354","Plot1354","NZ",-43.08,171.6,-1.06,0.093,0.111,NA,NA,NA,NA,0.0051,0.84,NA,"Temperate",-0.018
"1355","Plot1355","NZ",-43.09,171.6,-1.07,0.132,0.114,NA,NA,NA,NA,0.0076,0.31,NA,"Temperate",0.018
"1356","Plot1356","NZ",-43.09,171.6,-1.03,0.117,0.169,NA,NA,NA,NA,0.0069,0.35,NA,"Temperate",-0.052
"1357","Plot1357","NZ",-43.09,171.59,-0.92,0.118,0.14,NA,NA,NA,NA,0.0087,0.51,NA,"Temperate",-0.022
"1358","Plot1358","NZ",-43.09,171.62,-1.18,0.135,0.24,NA,NA,NA,NA,0.0049,0.44,NA,"Temperate",-0.105
"1359","Plot1359","NZ",-43.09,171.62,-1.21,0.106,0.188,NA,NA,NA,NA,0.0044,0.38,NA,"Temperate",-0.082
"1360","Plot1360","NZ",-43.09,171.62,-0.72,0.084,0.169,NA,NA,NA,NA,0.0065,0.44,NA,"Temperate",-0.085
"1361","Plot1361","NZ",-43.1,171.61,-0.61,0.124,0.274,NA,NA,NA,NA,0.0055,0.31,NA,"Temperate",-0.15
"1362","Plot1362","NZ",-43.1,171.62,-1.04,0.129,0.166,NA,NA,NA,NA,0.0071,0.28,NA,"Temperate",-0.037
"1363","Plot1363","NZ",-43.1,171.62,-0.72,0.07,0.151,NA,NA,NA,NA,0.0039,0.48,NA,"Temperate",-0.081
"1364","Plot1364","NZ",-43.1,171.62,-0.86,0.055,0.082,NA,NA,NA,NA,0.0036,0.48,NA,"Temperate",-0.027
"1365","Plot1365","NZ",-43.13,171.63,-0.66,0.08,0.139,NA,NA,NA,NA,0.0055,0.72,NA,"Temperate",-0.059
"1366","Plot1366","NZ",-43.11,171.63,-0.83,0.057,0.103,NA,NA,NA,NA,0.0041,0.55,NA,"Temperate",-0.046
"1367","Plot1367","NZ",-43.11,171.63,-1.41,0.098,0.057,NA,NA,NA,NA,0.0055,0.33,NA,"Temperate",0.041
"1368","Plot1368","NZ",-43.11,171.61,-1.53,0.129,0.118,NA,NA,NA,NA,0.0042,0.68,NA,"Temperate",0.011
"1369","Plot1369","NZ",-43.11,171.61,-1.03,0.153,0.19,NA,NA,NA,NA,0.0064,0.41,NA,"Temperate",-0.037
"1370","Plot1370","NZ",-43.11,171.61,-1.27,0.103,0.194,NA,NA,NA,NA,0.0064,0.47,NA,"Temperate",-0.091
"1371","Plot1371","NZ",-43.12,171.6,-0.76,0.091,0.13,NA,NA,NA,NA,0.0048,0.48,NA,"Temperate",-0.039
"1372","Plot1372","NZ",-43.11,171.63,-1.09,0.097,0.186,NA,NA,NA,NA,0.0056,0.44,NA,"Temperate",-0.089
"1373","Plot1373","NZ",-43.12,171.64,-1.4,0.148,0.068,NA,NA,NA,NA,0.0058,0.36,NA,"Temperate",0.08
"1374","Plot1374","NZ",-43.17,171.56,-0.89,0.181,0.267,NA,NA,NA,NA,0.0035,0.36,NA,"Temperate",-0.086
"1375","Plot1375","NZ",-43.14,171.64,-0.72,0.076,0.155,NA,NA,NA,NA,0.0034,0.69,NA,"Temperate",-0.079
"1376","Plot1376","NZ",-43.13,171.63,-1.07,0.136,0.185,NA,NA,NA,NA,0.0044,0.61,NA,"Temperate",-0.049
"1377","Plot1377","NZ",-43.13,171.63,-1.21,0.119,0.152,NA,NA,NA,NA,0.0051,0.56,NA,"Temperate",-0.033
