"","PLOT_ID","Source","Lat","Lon","Slope","gr_mean","Biom_mean","RS","PWQ","PH","SOC","Basal","CV","Age","Biome","Sink"
"1044","Plot1044","Can",54.72,-118.95,-1.39,0.23,0.122,46.26,238,4.599999905,51.58,0.0038,0.24,89.49,"Boreal",0.108
"1045","Plot1045","Can",54.72,-118.95,-1.15,0.248,0.156,46.26,238,4.599999905,51.58,0.0041,0.27,89.49,"Boreal",0.092
"1046","Plot1046","Can",54.74,-118.95,-1.24,0.25,0.155,45.78,236,4.599999905,45.29,0.0039,0.2,86.32,"Boreal",0.095
"1047","Plot1047","Can",54.74,-118.95,-1.87,0.238,0.077,45.78,236,4.599999905,45.29,0.0041,0.22,86.32,"Boreal",0.161
"1048","Plot1048","Can",54.74,-118.95,-1.35,0.23,0.142,45.78,236,4.599999905,45.29,0.0035,0.19,86.32,"Boreal",0.088
"1049","Plot1049","Can",54.3,-116.31,-0.93,0.237,0.273,64.91,276,6,44.68,0.0036,0.25,97.1,"Boreal",-0.036
"1050","Plot1050","Can",54.3,-116.31,-1.11,0.261,0.235,64.91,276,6,44.68,0.0041,0.3,97.1,"Boreal",0.026
"1051","Plot1051","Can",54.3,-116.31,-1.69,0.286,0.193,64.91,276,6,44.68,0.0044,0.28,97.1,"Boreal",0.093
"1052","Plot1052","Can",54.74,-118.97,-1.29,0.261,0.173,45.79,236,4.599999905,45.5,0.0044,0.26,89.78,"Boreal",0.088
"1053","Plot1053","Can",54.74,-118.97,-0.78,0.248,0.322,45.79,236,4.599999905,45.5,0.0041,0.26,89.78,"Boreal",-0.074
"1054","Plot1054","Can",54.74,-118.97,-1.29,0.244,0.188,45.79,236,4.599999905,45.5,0.0038,0.23,89.78,"Boreal",0.056
"1055","Plot1055","Can",54.74,-118.97,-1.24,0.262,0.187,45.79,236,4.599999905,45.5,0.0044,0.22,89.78,"Boreal",0.075
"1056","Plot1056","Can",56.91,-101.22,-1.35,0.164,0.114,52.59,215,4.800000191,91.12,0.0033,0.5,63,"Boreal",0.05
"1057","Plot1057","Can",56.74,-101.2,-1.58,0.129,0.076,53.84,221,4.800000191,73.74,0.0019,0.52,51.61,"Boreal",0.053
"1058","Plot1058","Can",56.81,-101.11,-1.45,0.143,0.11,53.9,218,4.800000191,75.63,0.0025,0.47,57.86,"Boreal",0.033
"1059","Plot1059","Can",54.55,-118.97,-0.5,0.212,0.287,48.52,245,4.599999905,47.95,0.0022,0.35,75.03,"Boreal",-0.075
"1060","Plot1060","Can",56.52,-99.98,-1.6,0.149,0.062,58.21,227,5.5,100.2,0.0018,0.37,62.54,"Boreal",0.087
"1061","Plot1061","Can",54.54,-118.94,-3.25,0.285,0.057,48.3,238,4.599999905,48.27,0.0026,0.4,72.77,"Boreal",0.228
"1062","Plot1062","Can",54.54,-118.94,-2.76,0.299,0.061,48.3,238,4.599999905,48.27,0.0031,0.38,72.77,"Boreal",0.238
"1063","Plot1063","Can",54.54,-118.94,-3.24,0.27,0.063,48.3,238,4.599999905,48.27,0.0026,0.36,72.77,"Boreal",0.207
"1064","Plot1064","Can",54.53,-118.98,-3.47,0.302,0.068,47.74,242,4.599999905,49.29,0.0029,0.35,77.29,"Boreal",0.234
"1065","Plot1065","Can",54.48,-119,-0.89,0.247,0.239,48.94,247,4.599999905,54.66,0.0033,0.21,88.44,"Boreal",0.00800000000000001
"1066","Plot1066","Can",54.48,-119,-0.68,0.296,0.303,48.94,247,4.599999905,54.66,0.0039,0.26,88.44,"Boreal",-0.00700000000000001
"1067","Plot1067","Can",54.48,-119,-1,0.283,0.233,48.94,247,4.599999905,54.66,0.0041,0.25,88.44,"Boreal",0.05
"1068","Plot1068","Can",54.48,-119,-0.83,0.294,0.263,48.94,247,4.599999905,54.66,0.0039,0.24,88.44,"Boreal",0.031
"1069","Plot1069","Can",54.47,-119,-1.15,0.278,0.188,48.5,247,4.599999905,56.38,0.0036,0.31,86.27,"Boreal",0.09
"1070","Plot1070","Can",54.47,-119,-0.51,0.286,0.354,48.5,247,4.599999905,56.38,0.0036,0.24,86.27,"Boreal",-0.068
"1071","Plot1071","Can",54.47,-118.98,-0.91,0.295,0.269,48.55,245,4.599999905,60.25,0.0037,0.26,89.07,"Boreal",0.026
"1072","Plot1072","Can",54.47,-118.98,-0.78,0.304,0.283,48.55,245,4.599999905,60.25,0.0036,0.24,89.07,"Boreal",0.021
"1073","Plot1073","Can",54.47,-118.98,-1.29,0.28,0.163,48.55,245,4.599999905,60.25,0.0037,0.23,89.07,"Boreal",0.117
"1074","Plot1074","Can",54.47,-118.98,-0.98,0.259,0.215,48.55,245,4.599999905,60.25,0.0034,0.25,89.07,"Boreal",0.044
"1075","Plot1075","Can",54.46,-119,-0.54,0.279,0.291,48.32,246,4.599999905,53.4,0.0038,0.25,81.27,"Boreal",-0.012
"1076","Plot1076","Can",54.46,-119,-0.9,0.297,0.262,48.32,246,4.599999905,53.4,0.0043,0.32,81.27,"Boreal",0.035
"1077","Plot1077","Can",54.46,-119,-0.65,0.313,0.329,48.32,246,4.599999905,53.4,0.0038,0.26,81.27,"Boreal",-0.016
"1078","Plot1078","Can",54.3,-116.3,-0.92,0.243,0.231,65.22,281,6,43.6,0.0041,0.24,104.9,"Boreal",0.012
"1079","Plot1079","Can",49.16,-54.92,-3.7,0.38,0.041,8.52,278,3.700000048,53.45,0.0035,0.66,44.2,"Temperate",0.339
"1080","Plot1080","Can",54.3,-116.3,-0.91,0.192,0.199,65.22,281,6,43.6,0.004,0.24,104.9,"Boreal",-0.00700000000000001
"1081","Plot1081","Can",54.3,-116.3,-0.69,0.203,0.277,65.22,281,6,43.6,0.0038,0.25,104.9,"Boreal",-0.074
"1082","Plot1082","Can",54.3,-116.3,-0.61,0.204,0.309,65.22,281,6,43.6,0.0039,0.27,104.9,"Boreal",-0.105
"1083","Plot1083","Can",55.26,-98.4,-1.79,0.326,0.108,50.06,213,5.099999905,103.33,0.0028,0.38,38.64,"Boreal",0.218
"1084","Plot1084","Can",54.32,-116.25,-1.12,0.183,0.121,65.3,285,5.699999809,43.17,0.0034,0.28,99.83,"Boreal",0.062
"1085","Plot1085","Can",54.32,-116.25,-1.1,0.202,0.151,65.3,285,5.699999809,43.17,0.0041,0.25,99.83,"Boreal",0.051
"1086","Plot1086","Can",54.32,-116.25,-0.79,0.149,0.152,65.3,285,5.699999809,43.17,0.0038,0.23,99.83,"Boreal",-0.003
"1087","Plot1087","Can",54.32,-116.25,-0.74,0.162,0.18,65.3,285,5.699999809,43.17,0.0036,0.29,99.83,"Boreal",-0.018
"1088","Plot1088","Can",52.32,-115.23,-1,0.193,0.165,67.43,308,5.5,37.82,0.0021,0.23,87.98,"Boreal",0.028
"1089","Plot1089","Can",52.32,-115.23,-0.75,0.218,0.229,67.43,308,5.5,37.82,0.0024,0.23,87.98,"Boreal",-0.011
"1090","Plot1090","Can",52.32,-115.23,-0.75,0.249,0.253,67.43,308,5.5,37.82,0.0025,0.22,87.98,"Boreal",-0.004
"1091","Plot1091","Can",52.32,-115.23,-0.49,0.178,0.233,67.43,308,5.5,37.82,0.0019,0.28,87.98,"Boreal",-0.055
"1092","Plot1092","Can",52.32,-115.24,-1.27,0.183,0.141,67.76,310,5.5,36.72,0.002,0.23,87.93,"Boreal",0.042
"1093","Plot1093","Can",52.32,-115.24,-0.93,0.24,0.212,67.76,310,5.5,36.72,0.0026,0.25,87.93,"Boreal",0.028
"1094","Plot1094","Can",52.32,-115.24,-0.58,0.239,0.242,67.76,310,5.5,36.72,0.0023,0.23,87.93,"Boreal",-0.003
"1095","Plot1095","Can",52.32,-115.24,-0.77,0.209,0.2,67.76,310,5.5,36.72,0.0021,0.22,87.93,"Boreal",0.00899999999999998
"1096","Plot1096","Can",52.35,-115.3,-1.2,0.227,0.139,67.14,311,5.5,38.41,0.0028,0.23,87.19,"Boreal",0.088
"1097","Plot1097","Can",52.35,-115.3,-0.86,0.212,0.191,67.14,311,5.5,38.41,0.003,0.23,87.19,"Boreal",0.021
"1098","Plot1098","Can",52.35,-115.3,-1.49,0.235,0.108,67.14,311,5.5,38.41,0.0033,0.23,87.19,"Boreal",0.127
"1099","Plot1099","Can",52.35,-115.3,-1.1,0.207,0.131,67.14,311,5.5,38.41,0.0026,0.21,87.19,"Boreal",0.076
"1100","Plot1100","Can",52.35,-115.31,-0.92,0.279,0.245,66.75,310,5.5,38.04,0.0036,0.19,86.72,"Boreal",0.034
"1101","Plot1101","Can",52.35,-115.31,-1.1,0.287,0.219,66.75,310,5.5,38.04,0.004,0.21,86.72,"Boreal",0.068
"1102","Plot1102","Can",52.35,-115.31,-1.21,0.27,0.167,66.75,310,5.5,38.04,0.0041,0.24,86.72,"Boreal",0.103
"1103","Plot1103","Can",52.35,-115.31,-0.89,0.238,0.237,66.75,310,5.5,38.04,0.0037,0.23,86.72,"Boreal",0.001
"1104","Plot1104","Can",52.37,-115.35,-1.44,0.335,0.166,65.51,308,5.300000191,37.66,0.0042,0.25,86.24,"Boreal",0.169
"1105","Plot1105","Can",52.37,-115.35,-1.06,0.299,0.264,65.51,308,5.300000191,37.66,0.0037,0.22,86.24,"Boreal",0.035
"1106","Plot1106","Can",52.37,-115.35,-1.27,0.298,0.201,65.51,308,5.300000191,37.66,0.0041,0.24,86.24,"Boreal",0.097
